CMDLINE python valhalla.py
MEM 67.863281 1712572259.0360
MEM 67.863281 1712572259.1363
MEM 67.863281 1712572259.2366
MEM 67.863281 1712572259.3370
MEM 67.863281 1712572259.4373
MEM 67.863281 1712572259.5376
MEM 67.863281 1712572259.6380
MEM 67.863281 1712572259.7384
MEM 67.863281 1712572259.8388
MEM 67.863281 1712572259.9392
MEM 67.863281 1712572260.0396
MEM 67.863281 1712572260.1399
MEM 67.863281 1712572260.2402
MEM 67.863281 1712572260.3405
MEM 67.863281 1712572260.4408
MEM 67.863281 1712572260.5411
MEM 67.863281 1712572260.6415
MEM 67.863281 1712572260.7417
MEM 67.863281 1712572260.8421
MEM 67.863281 1712572260.9424
MEM 67.863281 1712572261.0428
MEM 67.863281 1712572261.1432
MEM 67.863281 1712572261.2435
MEM 67.863281 1712572261.3438
MEM 67.863281 1712572261.4441
MEM 67.863281 1712572261.5445
MEM 67.863281 1712572261.6448
MEM 67.863281 1712572261.7451
MEM 67.863281 1712572261.8454
MEM 67.863281 1712572261.9458
MEM 67.863281 1712572262.0461
MEM 67.863281 1712572262.1465
MEM 67.863281 1712572262.2469
MEM 67.863281 1712572262.3473
MEM 67.863281 1712572262.4477
MEM 67.863281 1712572262.5479
MEM 67.863281 1712572262.6482
MEM 67.863281 1712572262.7485
MEM 67.863281 1712572262.8488
MEM 67.863281 1712572262.9492
MEM 67.863281 1712572263.0496
MEM 67.863281 1712572263.1499
MEM 67.863281 1712572263.2502
MEM 67.863281 1712572263.3506
MEM 67.863281 1712572263.4510
MEM 67.863281 1712572263.5513
MEM 67.863281 1712572263.6517
MEM 67.863281 1712572263.7521
MEM 67.863281 1712572263.8524
MEM 67.863281 1712572263.9529
MEM 67.863281 1712572264.0533
MEM 67.863281 1712572264.1537
MEM 67.863281 1712572264.2540
MEM 67.863281 1712572264.3544
MEM 67.863281 1712572264.4548
MEM 67.863281 1712572264.5551
MEM 67.863281 1712572264.6555
MEM 67.863281 1712572264.7557
MEM 67.863281 1712572264.8559
MEM 67.863281 1712572264.9563
MEM 67.863281 1712572265.0567
MEM 67.863281 1712572265.1570
MEM 67.863281 1712572265.2573
MEM 67.863281 1712572265.3577
MEM 67.863281 1712572265.4583
MEM 67.863281 1712572265.5587
MEM 67.863281 1712572265.6590
MEM 67.863281 1712572265.7593
MEM 67.863281 1712572265.8597
MEM 67.863281 1712572265.9602
MEM 67.863281 1712572266.0605
MEM 67.863281 1712572266.1609
MEM 67.863281 1712572266.2613
MEM 67.863281 1712572266.3616
MEM 67.863281 1712572266.4620
MEM 67.863281 1712572266.5623
MEM 67.863281 1712572266.6627
MEM 67.863281 1712572266.7630
MEM 67.863281 1712572266.8634
MEM 67.863281 1712572266.9637
MEM 67.863281 1712572267.0641
MEM 67.863281 1712572267.1646
MEM 67.863281 1712572267.2650
MEM 67.863281 1712572267.3656
MEM 67.863281 1712572267.4662
MEM 67.863281 1712572267.5668
MEM 67.863281 1712572267.6673
MEM 67.863281 1712572267.7678
MEM 67.863281 1712572267.8682
MEM 67.863281 1712572267.9685
MEM 67.863281 1712572268.0690
MEM 67.863281 1712572268.1695
MEM 67.863281 1712572268.2701
MEM 67.863281 1712572268.3707
MEM 67.863281 1712572268.4713
MEM 67.863281 1712572268.5719
MEM 67.863281 1712572268.6723
MEM 67.863281 1712572268.7729
MEM 67.863281 1712572268.8734
MEM 67.863281 1712572268.9738
MEM 67.863281 1712572269.0744
MEM 67.863281 1712572269.1749
MEM 67.863281 1712572269.2756
MEM 67.863281 1712572269.3762
MEM 67.863281 1712572269.4767
MEM 67.863281 1712572269.5771
MEM 67.863281 1712572269.6776
MEM 67.863281 1712572269.7782
MEM 67.863281 1712572269.8788
MEM 67.863281 1712572269.9790
MEM 67.863281 1712572270.0796
MEM 67.863281 1712572270.1802
MEM 67.863281 1712572270.2809
MEM 67.863281 1712572270.3815
MEM 67.863281 1712572270.4819
MEM 67.863281 1712572270.5824
MEM 67.863281 1712572270.6828
MEM 67.863281 1712572270.7833
MEM 67.863281 1712572270.8839
MEM 67.863281 1712572270.9844
MEM 67.863281 1712572271.0850
MEM 67.863281 1712572271.1856
MEM 67.863281 1712572271.2860
MEM 67.863281 1712572271.3867
