Latitude: 2828.9661460000 N, Longitude: 7706.3573180000 E
Latitude: 2828.9663440000 N, Longitude: 7706.3580200000 E
Latitude: 2828.9662840000 N, Longitude: 7706.3584460000 E
Latitude: 2828.9661700000 N, Longitude: 7706.3588900000 E
Latitude: 2828.9660560000 N, Longitude: 7706.3593760000 E
Latitude: 2828.9657260000 N, Longitude: 7706.3598860000 E
Latitude: 2828.9651620000 N, Longitude: 7706.3604440000 E
Latitude: 2828.9647780000 N, Longitude: 7706.3610740000 E
Latitude: 2828.9644540000 N, Longitude: 7706.3616560000 E
Latitude: 2828.9640640000 N, Longitude: 7706.3629100000 E
Latitude: 2828.9633920000 N, Longitude: 7706.3637920000 E
Latitude: 2828.9625700000 N, Longitude: 7706.3640020000 E
Latitude: 2828.9618560000 N, Longitude: 7706.3649080000 E
Latitude: 2828.9609320000 N, Longitude: 7706.3658440000 E
Latitude: 2828.9600320000 N, Longitude: 7706.3667020000 E
Latitude: 2828.9593180000 N, Longitude: 7706.3675120000 E
Latitude: 2828.9587660000 N, Longitude: 7706.3675360000 E
Latitude: 2828.9581480000 N, Longitude: 7706.3676500000 E
Latitude: 2828.9573500000 N, Longitude: 7706.3680400000 E
Latitude: 2828.9568640000 N, Longitude: 7706.3688200000 E
Latitude: 2828.9559040000 N, Longitude: 7706.3692760000 E
Latitude: 2828.9553580000 N, Longitude: 7706.3697320000 E
Latitude: 2828.9549260000 N, Longitude: 7706.3702960000 E
Latitude: 2828.9541460000 N, Longitude: 7706.3707760000 E
Latitude: 2828.9533360000 N, Longitude: 7706.3708420000 E
Latitude: 2828.9526940000 N, Longitude: 7706.3705780000 E
Latitude: 2828.9519560000 N, Longitude: 7706.3703800000 E
Latitude: 2828.9515240000 N, Longitude: 7706.3701400000 E
Latitude: 2828.9510440000 N, Longitude: 7706.3695520000 E
Latitude: 2828.9506900000 N, Longitude: 7706.3689520000 E
Latitude: 2828.9503600000 N, Longitude: 7706.3684660000 E
Latitude: 2828.9499640000 N, Longitude: 7706.3678960000 E
Latitude: 2828.9498020000 N, Longitude: 7706.3673080000 E
Latitude: 2828.9495920000 N, Longitude: 7706.3668340000 E
Latitude: 2828.9499280000 N, Longitude: 7706.3662340000 E
Latitude: 2828.9498020000 N, Longitude: 7706.3655560000 E
Latitude: 2828.9497480000 N, Longitude: 7706.3648780000 E
Latitude: 2828.9494060000 N, Longitude: 7706.3642240000 E
Latitude: 2828.9490640000 N, Longitude: 7706.3635880000 E
Latitude: 2828.9491060000 N, Longitude: 7706.3628440000 E
Latitude: 2828.9488420000 N, Longitude: 7706.3621660000 E
Latitude: 2828.9485720000 N, Longitude: 7706.3616740000 E
Latitude: 2828.9482480000 N, Longitude: 7706.3610320000 E
Latitude: 2828.9479000000 N, Longitude: 7706.3601440000 E
Latitude: 2828.9478040000 N, Longitude: 7706.3593400000 E
Latitude: 2828.9476660000 N, Longitude: 7706.3585060000 E
Latitude: 2828.9475160000 N, Longitude: 7706.3577380000 E
Latitude: 2828.9474620000 N, Longitude: 7706.3571320000 E
Latitude: 2828.9471800000 N, Longitude: 7706.3563880000 E
Latitude: 2828.9468320000 N, Longitude: 7706.3557700000 E
Latitude: 2828.9464420000 N, Longitude: 7706.3549780000 E
Latitude: 2828.9460400000 N, Longitude: 7706.3541080000 E
Latitude: 2828.9459080000 N, Longitude: 7706.3532620000 E
Latitude: 2828.9462080000 N, Longitude: 7706.3522420000 E
Latitude: 2828.9459560000 N, Longitude: 7706.3513120000 E
Latitude: 2828.9457160000 N, Longitude: 7706.3504720000 E
Latitude: 2828.9455720000 N, Longitude: 7706.3497100000 E
Latitude: 2828.9455120000 N, Longitude: 7706.3490320000 E
Latitude: 2828.9452900000 N, Longitude: 7706.3482100000 E
Latitude: 2828.9451220000 N, Longitude: 7706.3473760000 E
Latitude: 2828.9451340000 N, Longitude: 7706.3466080000 E
Latitude: 2828.9449360000 N, Longitude: 7706.3457920000 E
Latitude: 2828.9448100000 N, Longitude: 7706.3451740000 E
Latitude: 2828.9445160000 N, Longitude: 7706.3443340000 E
Latitude: 2828.9439640000 N, Longitude: 7706.3435960000 E
Latitude: 2828.9436640000 N, Longitude: 7706.3427260000 E
Latitude: 2828.9434240000 N, Longitude: 7706.3420900000 E
Latitude: 2828.9434960000 N, Longitude: 7706.3411960000 E
Latitude: 2828.9434000000 N, Longitude: 7706.3402720000 E
Latitude: 2828.9432260000 N, Longitude: 7706.3395880000 E
Latitude: 2828.9430760000 N, Longitude: 7706.3387960000 E
Latitude: 2828.9429620000 N, Longitude: 7706.3380280000 E
Latitude: 2828.9428300000 N, Longitude: 7706.3374220000 E
Latitude: 2828.9428480000 N, Longitude: 7706.3368040000 E
Latitude: 2828.9428960000 N, Longitude: 7706.3360240000 E
Latitude: 2828.9427160000 N, Longitude: 7706.3352320000 E
Latitude: 2828.9425420000 N, Longitude: 7706.3346260000 E
Latitude: 2828.9425120000 N, Longitude: 7706.3340800000 E
Latitude: 2828.9423920000 N, Longitude: 7706.3333000000 E
Latitude: 2828.9421160000 N, Longitude: 7706.3327000000 E
Latitude: 2828.9420560000 N, Longitude: 7706.3320100000 E
Latitude: 2828.9419420000 N, Longitude: 7706.3314580000 E
Latitude: 2828.9418520000 N, Longitude: 7706.3309300000 E
Latitude: 2828.9423620000 N, Longitude: 7706.3302220000 E
Latitude: 2828.9429200000 N, Longitude: 7706.3293340000 E
Latitude: 2828.9431900000 N, Longitude: 7706.3283500000 E
Latitude: 2828.9432320000 N, Longitude: 7706.3273420000 E
